,type,id,attributes.accession,attributes.samples-count,attributes.bioproject,attributes.is-private,attributes.secondary-accession,attributes.centre-name,attributes.public-release-date,attributes.study-abstract,attributes.study-name,attributes.data-origination,attributes.last-update,relationships.geocoordinates.links.related,relationships.biomes.links.related,relationships.biomes.data,relationships.publications.links.related,relationships.samples.links.related,relationships.analyses.links.related,relationships.downloads.links.related,links.self
0,studies,MGYS00005628,MGYS00005628,424,PRJEB6070,False,ERP005534,EMBL - Germany,,"Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism.",Potential of fecal microbiota for early stage detection of colorectal cancer,SUBMITTED,2023-10-09T15:24:44,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system'}}, {'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}, {'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system:Large%20intestine:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005628
1,studies,MGYS00005360,MGYS00005360,184,PRJNA289586,False,SRP072561,Luxembourg Centre for Systems Biomedicine,,"Recent evidence from high-resolution molecular studies suggests links between microbial dysbiosis in the gastrointestinal tract and a number of complex chronic diseases including diabetes mellitus. The present study forms a pilot study for the larger Luxembourg-based Diabetes Multiplex Family Study (MUST). Within the pilot study, we investigate the interplay of the gastrointestinal microbiota, lifestyle and genetic background in an observational study of families with two or more individuals affected by type 1 diabetes mellitus. Faecal samples which have undergone comprehensive biomolecular extractions are currently analysed using a multi-omics approach. Anthropometric data, including demographics, medical history, health status, medication, and dietary habits of all study participants were collected and are integrated with molecular data.",Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus,HARVESTED,2023-10-09T14:45:26,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system'}}, {'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360
2,studies,MGYS00006531,MGYS00006531,169,PRJNA720544,False,SRP314565,Broad Institute,,Viral sequence analysis of tissue specimens from fatal COVID-19 cases collected for multiple studies.,SARS-CoV-2 genome sequencing and assembly from COVID-19 autopsy tissue specimens,HARVESTED,2023-10-09T12:49:51,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Lung', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Lung'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006531
3,studies,MGYS00001648,MGYS00001648,49,PRJDB3864,False,DRP003095,J. Craig Venter Institute,,"Lung transplant recipients routinely acquire infectious diseases such as bacterial pneumonia and tracheobronchitis. These two diseases are difficult to distinguish from each other, or from non-infectious airway colonization because there is considerable overlap in their signs and symptoms and respiratory culture findings. In this project, we explored the microbiome and cytokine signatures of lung transplant recipients with bacterial pneumonia, tracheobronchitis and non-infectious airway colonization.",lungbiome: Microbiome and cytokine signatures of bacterial pneumonia and tracheobronchitis,HARVESTED,2023-09-27T12:41:43,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Lung', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Lung'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001648
4,studies,MGYS00006530,MGYS00006530,632,PRJNA520924,False,SRP184496,University of Michigan,,"The study is focused on the variation in measures of CF airway microbiota within baseline clinical state, and factors that relate to this variation. The primary objective of this study was to quantify variation in measures of CF airway microbiota within periods of baseline clinical state. Additional objectives included identifying clinical variables associated with variation in measures of airway microbiota, determining within-subject changes in airway microbiota over time, and determining the impact of sampling interval on measures of microbiota.",CF airway microbiota within baseline clinical state,HARVESTED,2023-09-27T12:16:05,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Lung', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Lung'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006530
5,studies,MGYS00005269,MGYS00005269,618,PRJEB29091,False,ERP111364,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",,"A population study of respiratory tract microbiome in a largely healthy cohort of participants in the Busselton Health Study, Perth, Western Australia.",16S rRNA gene sequencing data from throat swabs from participants in the Busselton Health Study,SUBMITTED,2023-09-27T12:06:07,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Nasopharyngeal:Pharynx'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005269
6,studies,MGYS00006485,MGYS00006485,182,PRJNA305936,False,SRP077299,University of California San Francisco,,Clustering HIV-pneumonia patients based on airway bacterial community composition permits stratification of subjects into functionally and immunologically distinct groups that are differentially related to mortality risk.,Host Immune Response and Mortality Risk are  Related to Distinct Lung Microbiomes in  HIV-Pneumonia Patients,HARVESTED,2023-09-27T08:59:48,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Lung', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Lung'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006485
7,studies,MGYS00006475,MGYS00006475,25,PRJDB11461,False,DRP007146,"Internal medicine, Toho University Sakura Medical Center",,"We tried to put some light on the relationship between Non-tuberculous mycobacterial lung disease and lower airway microbiota, based on clinical characterization of the patients and 16s rRNA sequencing.   The results reported Other than the genus Pseudomonas, there was no clear difference in the composition of and no significant difference in the diversity of the bacterial flora between the Mycobacterium Avium Complex-Lung Disease (MAC-LD) and non-MAC-LD groups. We found that the genus Pseudomonas and Mycobacterium Avium Complex tended to exist exclusively.",Lower airway microbiota in patients with clinically suspected Mycobacterium avium complex lung disease,HARVESTED,2023-09-27T08:57:23,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Trachea', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Trachea'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006475
8,studies,MGYS00005253,MGYS00005253,606,PRJEB26618,False,ERP108620,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",,The pathogenesis of airway infection in cystic fibrosis (CF) is poorly understood.  We aimed to identify changes in the airway microbiota in infancy that could underpin deterioration and could potentially be targeted therapeutically. Thirty infants with CF diagnosed on newborn screening were followed up for up to two years.  Throat swabs were collected as a surrogate for lower airway microbiota (median 35 days between study visits). Quantitative PCR and sequencing of the 16S rRNA bacterial gene was performed using the Illumina MiSeq. Data analyses were performed in QIIME and Phyloseq in R.,Early development of the airway microbiota in infants with cystic fibrosis,SUBMITTED,2023-09-26T22:09:05,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Oral:Throat', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Oral:Throat'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005253
9,studies,MGYS00006529,MGYS00006529,202,PRJNA522449,False,SRP185921,University of Pittsburgh,,Examine the microbiome via 16S sequences of the human lung in subjects with and without COPD and HIV,Pathogenesis of Obstruction/Emphysema and the Microbiome MiSeq,HARVESTED,2023-09-26T20:19:20,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/biomes,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Pulmonary system:Lung', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Pulmonary%20system:Lung'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006529
